Campus,Cursos
Todos,Todos
Todos,Licenciatura em Física
Todos,Tecnologia em Design de Moda
Todos,Engenharia de Produção
Todos,Tecnologia em Alimentos
Todos,Tecnologia em Análise e Desenvolvimento de Sistemas
Todos,Engenharia de Controle e Automação
Todos,Gastronomia
Todos,Hotelaria
Todos,Engenharia de Mecatrônica
Todos,Licenciatura em Química
Todos,Engenharia Civil
Todos,Engenharia Elétrica
Todos,Engenharia Eletrônica
Todos,Engenharia Mecatrônica
Todos,Tecnologia em Design de Produto
Todos,Tecnologia em Gestão de Tecnologia da Informação
Todos,Tecnologia em Radiologia
Todos,Tecnologia em Sistemas de Energia
Todos,Tecnologia em Sistemas Eletrônicos
Todos,Tecnologia em Análise e Desenvolvimento de Sistemas
Todos,Tecnologia em Design de Moda
Todos,Tecnologia em Processos Gerenciais
Todos,Engenharia Elétrica
Todos,Licenciatura em Física
Todos,Engenharia Elétrica
Todos,Tecnologia em Fabricação Mecânica
Todos,Engenharia Elétrica
Todos,Tecnologia em Gestão Hospitalar
Todos,Ciência da Computação
Todos,Engenharia Mecânica
Todos,Engenharia de Telecomunicações
Todos,Química - Licenciatura
Todos,Agronomia
Todos,Tecnologia em Alimentos
Todos,Tecnologia em Alimentos
Todos,Tecnologia em Viticultura e Enologia
Todos,Engenharia Mecânica
Araranguá,Todos
Araranguá,Licenciatura em Física
Araranguá,Tecnologia em Design de Moda
Caçador,Engenharia de Produção
Canoinhas,Todos
Canoinhas,Tecnologia em Alimentos
Canoinhas,Tecnologia em Análise e Desenvolvimento de Sistemas
Chapecó,Engenharia de Controle e Automação
Continente,Todos
Continente,Gastronomia
Continente,Hotelaria
Criciúma,Todos
Criciúma,Engenharia de Mecatrônica
Criciúma,Licenciatura em Química
Florianópolis,Todos
Florianópolis,Engenharia Civil
Florianópolis,Engenharia Elétrica
Florianópolis,Engenharia Eletrônica
Florianópolis,Engenharia Mecatrônica
Florianópolis,Tecnologia em Design de Produto
Florianópolis,Tecnologia em Gestão de Tecnologia da Informação
Florianópolis,Tecnologia em Radiologia
Florianópolis,Tecnologia em Sistemas de Energia
Florianópolis,Tecnologia em Sistemas Eletrônicos
Gaspar,Todos
Gaspar,Tecnologia em Análise e Desenvolvimento de Sistemas
Gaspar,Tecnologia em Design de Moda
Gaspar,Tecnologia em Processos Gerenciais
Itajaí,Engenharia Elétrica
Jaraguá do Sul,Licenciatura em Física
Jaraguá do Sul – Rau,Todos
Jaraguá do Sul – Rau,Engenharia Elétrica
Jaraguá do Sul – Rau,Tecnologia em Fabricação Mecânica
Joinville,Todos
Joinville,Engenharia Elétrica
Joinville,Tecnologia em Gestão Hospitalar
Lages,Todos
Lages,Ciência da Computação
Lages,Engenharia Mecânica
São José,Todos
São José,Engenharia de Telecomunicações
São José,Química - Licenciatura
São Miguel do Oeste,Todos
São Miguel do Oeste,Agronomia
São Miguel do Oeste,Tecnologia em Alimentos
Urupema,Todos
Urupema,Tecnologia em Alimentos
Urupema,Tecnologia em Viticultura e Enologia
Xanxerê,Engenharia Mecânica
